Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team,salary,position,season,height
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,203.2
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,203.2
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.534,0.257,0.23600000000000002,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,Memphis Grizzlies,9073050, SF,2019-2020,205.74
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.534,0.257,0.23600000000000002,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,Memphis Grizzlies,9073050, SF,2019-2020,205.74
